date,schedule_interval,transmission_id,sched_inj_gj,sched_wdl_gj,price_value,administered_price,actual_wdl_gj,actual_inj_gj
2016-12-31,1,171272,377342.0,386467.3147,3.5,,389754.0053,387728.5952
2016-12-31,2,171282,372637.0,393882.2553,2.5081,,389754.0053,387728.5952
2016-12-31,3,171290,372637.0,390697.5883,3.0681,,389754.0053,387728.5952
2016-12-31,4,171298,377637.4882,392859.8289,3.5,,389754.0053,387728.5952
2016-12-31,5,171303,380262.02,389405.6548,3.6939,,389754.0053,387728.5952
2016-12-30,1,171225,453625.4174,454777.0,3.6939,,438534.9224,440899.4741
2016-12-30,2,171232,440852.1378,460125.2288,3.0551,,438534.9224,440899.4741
2016-12-30,3,171241,436324.1378,456996.1297,2.4,,438534.9224,440899.4741
2016-12-30,4,171251,436319.1667,459496.55,2.2011,,438534.9224,440899.4741
2016-12-30,5,171260,436324.1378,459132.6094,2.2011,,438534.9224,440899.4741
2016-12-29,1,171186,438493.2453,451093.0,3.89,,456759.1486,441154.5276
2016-12-29,2,171201,441498.0,476117.8668,2.0,,456759.1486,441154.5276
2016-12-29,3,171209,448498.0,482501.22,1.68,,456759.1486,441154.5276
2016-12-29,4,171215,448498.0,483457.3676,1.68,,456759.1486,441154.5276
2016-12-29,5,171219,448498.0,486986.3214,1.68,,456759.1486,441154.5276
2016-12-28,1,171136,420645.0,429246.8642,4.9662,,439097.882,447070.4055
2016-12-28,2,171146,419804.1667,445639.3507,3.5,,439097.882,447070.4055
2016-12-28,3,171162,444078.1667,471216.5155,1.8088,,439097.882,447070.4055
2016-12-28,4,171176,447310.0318,478712.0,1.2255,,439097.882,447070.4055
2016-12-28,5,171180,447310.1667,482422.3775,0.8088,,439097.882,447070.4055
2016-12-27,1,171079,431971.5067,447140.0,2.88,,444272.6887,440249.0148
2016-12-27,2,171095,435159.0,452298.2528,2.0088,,444272.6887,440249.0148
2016-12-27,3,171106,437159.0,456250.2905,2.36,,444272.6887,440249.0148
2016-12-27,4,171126,437159.0,459141.8712,1.6783,,444272.6887,440249.0148
2016-12-27,5,171129,437159.0,453000.2804,2.8,,444272.6887,440249.0148
2016-12-26,1,171012,441234.0,467623.3239,3.0,,452426.6182,436116.7377
2016-12-26,2,171038,442069.0,478626.385,1.23,,452426.6182,436116.7377
2016-12-26,3,171048,427069.0,472089.8694,0.696,,452426.6182,436116.7377
2016-12-26,4,171068,429890.0,480085.2014,0.8888,,452426.6182,436116.7377
2016-12-26,5,171071,429890.0,482116.1476,0.99,,452426.6182,436116.7377
2016-12-25,1,170979,410995.408,415595.0,6.269,,388187.3119,415056.0622
2016-12-25,2,170985,419884.0,415068.6008,6.4,,388187.3119,415056.0622
2016-12-25,3,170994,416925.0,420074.5052,6.4,,388187.3119,415056.0622
2016-12-25,4,171003,419942.556,435867.5564,4.5,,388187.3119,415056.0622
2016-12-25,5,171005,405928.9495,428746.1483,4.2,,388187.3119,415056.0622
2016-12-24,1,170948,409593.0,430260.5957,7.55,,350631.1609,328720.0457
2016-12-24,2,170955,408764.1667,430422.5496,8.22,,350631.1609,328720.0457
2016-12-24,3,170959,397342.2582,423004.0,15.99,,350631.1609,328720.0457
2016-12-24,4,170965,383343.2818,407845.0173,10.3,,350631.1609,328720.0457
2016-12-24,5,170967,388320.2818,409006.1062,10.25,,350631.1609,328720.0457
2016-12-23,1,170896,390241.8529,403745.0,9.7999,,348819.7093,355011.0675
2016-12-23,2,170906,375781.0028,395388.0,9.65,,348819.7093,355011.0675
2016-12-23,3,170916,371043.7366,395438.0,9.33,,348819.7093,355011.0675
2016-12-23,4,170930,373544.0,398337.1963,8.778,,348819.7093,355011.0675
2016-12-23,5,170935,383818.4381,407545.9999,9.2488,,348819.7093,355011.0675
2016-12-22,1,170841,431105.8233,431458.0,9.9888,,400274.5096,404361.212
2016-12-22,2,170849,408787.6949,419077.7258,9.56,,400274.5096,404361.212
2016-12-22,3,170865,416401.1176,426103.0,9.88,,400274.5096,404361.212
2016-12-22,4,170875,436353.4855,443803.0,9.89,,400274.5096,404361.212
2016-12-22,5,170881,440603.2185,444113.3333,12.45,,400274.5096,404361.212
